plate,ID,dil,batch
parce lys 2023.03.08 plate 8,197,1,1
parce lys 2023.03.08 plate 8,198,1,1
parce lys 2023.03.08 plate 8,199,1,1
parce lys 2023.03.08 plate 8,200,1,1
parce lys 2023.03.08 plate 8,201,1,1
parce lys 2023.03.08 plate 8,202,1,1
parce lys 2023.03.08 plate 8,203,1,1
parce lys 2023.03.08 plate 8,204,1,1
parce lys 2023.03.08 plate 8,205,1,1
parce lys 2023.03.08 plate 8,206,1,1
parce lys 2023.03.08 plate 8,207,1,1
parce lys 2023.03.08 plate 8,208,1,1
parce lys 2023.03.08 plate 9,209,1,1
parce lys 2023.03.08 plate 9,210,1,1
parce lys 2023.03.08 plate 9,211,1,1
parce lys 2023.03.08 plate 9,212,1,1
parce lys 2023.03.08 plate 9,213,1,1
parce lys 2023.03.08 plate 9,214,1,1
parce lys 2023.03.08 plate 9,215,1,1
parce lys 2023.03.08 plate 9,216,1,1
parce lys 2023.03.08 plate 9,217,1,1
parce lys 2023.03.08 plate 9,218,1,1
parce lys 2023.03.08 plate 9,219,1,1
parce lys 2023.03.08 plate 9,220,1,1
parce lys 2023.03.08 plate 9,221,1,1
parce lys 2023.03.08 plate 9,222,1,1
parce lys 2023.03.08 plate 9,223,1,1
parce lys 2023.03.08 plate 9,224,1,1
parce lys 2023.03.08 plate 9,225,1,1
parce lys 2023.03.08 plate 9,226,1,1
parce lys 2023.03.08 plate 9,227,1,1
parce lys 2023.03.08 plate 9,228,1,1
parce lys 2023.03.08 plate 9,229,1,1
parce lys 2023.03.08 plate 9,230,1,1
parce lys 2023.03.08 plate 9,231,1,1
parce lys 2023.03.08 plate 9,232,1,1
parce lys 2023.03.08 plate 9,233,1,1
parce lys 2023.03.08 plate 9,234,1,1
parce lys 2023.03.08 plate 10,235,1,1
parce lys 2023.03.08 plate 10,236,1,1
parce lys 2023.03.08 plate 10,237,1,1
parce lys 2023.03.08 plate 10,238,1,1
parce lys 2023.03.08 plate 10,239,1,1
parce lys 2023.03.08 plate 10,240,1,1
parce lys 2023.03.08 plate 10,241,1,1
parce lys 2023.03.08 plate 10,242,1,1
parce lys 2023.03.08 plate 10,243,1,1
parce lys 2023.03.08 plate 10,244,1,1
parce lys 2023.03.08 plate 10,245,1,1
parce lys 2023.03.08 plate 10,246,1,1
parce lys 2023.03.08 plate 10,247,1,1
parce lys 2023.03.08 plate 10,248,1,1
parce lys 2023.03.08 plate 10,249,1,1
parce lys 2023.03.08 plate 10,250,1,1
parce lys 2023.03.08 plate 10,251,1,1
parce lys 2023.03.08 plate 10,252,1,1
parce lys 2023.03.08 plate 10,253,1,1
parce lys 2023.03.08 plate 10,254,1,1
parce lys 2023.03.08 plate 10,255,1,1
parce lys 2023.03.08 plate 10,256,1,1
parce lys 2023.03.08 plate 10,257,1,1
parce lys 2023.03.08 plate 10,258,1,1
parce lys 2023.03.08 plate 10,259,1,1
